Tissue,Gene,baseMean,log2FoldChange (HFHS/Ct),lfcSE,stat,pvalue,padj,score
Liver,ABCA2,15.6670594,0.647292351,1.261055123,0.513294256,0.607745502,0.937219253,0.018226975
Heart,ABCA2,15.50681382,-0.376589961,1.356523812,-0.27761397,0.781308707,0.933611653,0.011235086
Skin,ABCA2,38.96537462,0.567403335,0.803920862,0.705795014,0.480315623,0.881293695,0.031138719
Spleen,ABCA2,40.95693561,-0.749761114,0.930855214,-0.805454063,0.420557705,0.848289102,0.053575015
WAT,ABCA2,114.7717313,1.313989836,0.952603835,1.379366519,0.167781777,0.772373146,0.147393964
LgIntestine,ABCA2,11.81209863,-0.651226191,0.950526607,-0.685121474,0.49326727,0.769425709,0.074131231
KidneyCortex,ABCA2,71.20077203,-1.327021238,0.904231938,-1.467567314,0.142221792,0.652544671,0.246016139
Muscle,ABCA2,47.80239775,-1.648398127,1.133119312,-1.454743652,0.145740243,0.429098128,0.60569298
LgIntestine,ABCA3,6.733335246,0.519833171,1.220321604,0.425980471,0.670122077,NA,NA
SmIntestine,ABCA3,10.0633943,0.530167548,1.256990347,0.421775354,0.673188997,0.999951041,1.13E-05
Lung,ABCA3,24.44634697,0.410712425,1.239850447,0.33125965,0.740448367,0.992993437,0.00125416
Liver,ABCA3,9.93054051,-1.087068941,1.156067366,-0.940316259,0.347055362,0.82346625,0.091698826
Spleen,ABCA3,22.54309316,-1.277538648,1.232489655,-1.036551214,0.29994506,0.79451839,0.127621059
Skin,ABCA3,23.90864032,1.251153856,1.20542531,1.037935611,0.299300033,0.78306358,0.132876261
WAT,ABCA3,31.0865549,2.014597062,1.02441096,1.966590694,0.049230417,0.656826904,0.367762814
Heart,ABCA3,14.16062022,1.372088953,1.303912701,1.052285902,0.292668398,0.640585475,0.265393443
KidneyMedulla,ABCA3,11.96607177,-2.371916018,1.341345102,-1.768311536,0.077008836,0.592464967,0.539225042
Muscle,ABCA3,31.41003964,1.398176465,1.180101024,1.184793876,0.236098955,0.545325904,0.368201204
KidneyCortex,ABCA3,21.9285342,2.056080245,1.079158655,1.905262248,0.05674599,0.511644706,0.598384149
Liver,ABCA4,0.099372254,-0.253037151,3.086001797,-0.081995141,0.934650578,NA,NA
Lung,ABCA4,1.778401116,0.151212664,1.406355594,0.107520932,0.91437572,NA,NA
KidneyCortex,ABCA4,5.841334095,-0.289953589,1.451797326,-0.199720432,0.841699233,NA,NA
Skin,ABCA4,1.693266059,-0.681633306,1.544942513,-0.441203022,0.659066025,NA,NA
LgIntestine,ABCA4,0.707424762,-0.857563229,1.707604715,-0.502202425,0.615525137,NA,NA
Heart,ABCA4,0.2603559,-2.204622231,3.009613931,-0.73252659,0.463847219,NA,NA
KidneyMedulla,ABCA4,1.653593672,1.276576967,1.709682256,0.746674982,0.455259775,NA,NA
Spleen,ABCA4,2.637152716,1.494582315,1.580046541,0.945910311,0.344194334,NA,NA
Muscle,ABCA4,6.037383078,-1.222300116,1.273677445,-0.959662213,0.337225247,NA,NA
SmIntestine,ABCA4,3.609293262,3.459489248,1.759808299,1.965833012,0.049317903,0.999951041,7.36E-05
WAT,ABCA4,6.725026765,-0.729477307,1.371279572,-0.531968332,0.594747929,0.906490454,0.031102553
Heart,ABCA5,4.290675705,-0.458088141,1.758002264,-0.260573124,0.794421718,NA,NA
KidneyCortex,ABCA5,7.348471137,0.450154869,1.130902013,0.398049401,0.690593771,NA,NA
Spleen,ABCA5,3.818690516,0.673145669,1.215015686,0.554022205,0.579563649,NA,NA
Liver,ABCA5,2.96401106,1.451782218,1.311700032,1.106794375,0.268382841,NA,NA
LgIntestine,ABCA5,3.22958511,1.587623679,1.421602182,1.11678478,0.264086358,NA,NA
KidneyMedulla,ABCA5,8.676625181,-1.584270183,1.136056508,-1.394534665,0.163156209,NA,NA
SmIntestine,ABCA5,4.510221257,0.136386937,1.182447874,0.115342875,0.908173356,0.999951041,2.90E-06
Lung,ABCA5,10.49438499,-0.518819497,1.01704477,-0.510124541,0.609964213,0.987770624,0.002772516
Muscle,ABCA5,13.08574767,0.161966685,1.105544401,0.146504008,0.883523526,0.961742273,0.002743925
WAT,ABCA5,19.63573223,2.491327483,1.052316844,2.367468978,0.017910221,0.572988377,0.602537984
Skin,ABCA5,10.09652327,-1.783210137,1.074014205,-1.660322674,0.096849557,0.543216835,0.47259844
