"gene_tissue","gene_Symbol","tissue","1_Chow","1_HF","2_Chow","2_HF","3_Chow","3_HF","4_Chow","4_HF","5_Chow","5_HF"
"SLC43A2_LARGE","SLC43A2","LARGE",2,8,3,1,1,15,2,9,2,1
"SLC43A2_LIVER","SLC43A2","LIVER",127,3,241,3,89,10,17,7,1,4
"SLC43A2_LUNG","SLC43A2","LUNG",6,21,3,8,5,14,2,9,3,4
"SLC43A2_MUSCLE","SLC43A2","MUSCLE",5,19,1,8,3,11,9,17,5,21
"SLC43A2_SKIN","SLC43A2","SKIN",5,3,4,8,4,16,4,14,3,7
"SLC43A2_SMALL","SLC43A2","SMALL",3,3,1,4,4,3,3,4,2,5
"SLC43A2_SPLEEN","SLC43A2","SPLEEN",3,6,8,45,1,6,9,1,2,6
"SLC43A2_WAT","SLC43A2","WAT",6,1,8,29,9,8,1,1,10,4
"SLC43A3_HEART","SLC43A3","HEART",1,4,1,2,1,12,0,2,1,1
"SLC43A3_KIDNEY-CORTEX","SLC43A3","KIDNEY-CORTEX",1,2,3,4,2,2,2,5,1,5
"SLC43A3_KIDNEY-MED","SLC43A3","KIDNEY-MED",1,1,1,3,NA,2,1,1,1,3
"SLC43A3_LARGE","SLC43A3","LARGE",1,2,1,1,1,2,1,1,1,1
"SLC43A3_LIVER","SLC43A3","LIVER",0,1,0,1,1,1,0,1,1,2
"SLC43A3_LUNG","SLC43A3","LUNG",0,2,1,1,3,5,0,6,1,2
"SLC43A3_MUSCLE","SLC43A3","MUSCLE",0,8,1,2,1,5,0,2,2,1
"SLC43A3_SKIN","SLC43A3","SKIN",0,1,1,4,3,1,1,5,2,1
"SLC43A3_SMALL","SLC43A3","SMALL",0,1,0,1,1,1,1,1,1,1
"SLC43A3_SPLEEN","SLC43A3","SPLEEN",1,3,0,7,1,1,1,1,1,3
"SLC43A3_WAT","SLC43A3","WAT",0,1,0,2,2,1,0,1,3,1
"SLC44A1_HEART","SLC44A1","HEART",2,7,0,7,1,6,1,5,0,1
"SLC44A1_KIDNEY-CORTEX","SLC44A1","KIDNEY-CORTEX",0,7,2,10,5,5,2,23,3,8
"SLC44A1_KIDNEY-MED","SLC44A1","KIDNEY-MED",1,1,1,2,NA,7,1,1,1,13
"SLC44A1_LARGE","SLC44A1","LARGE",1,10,1,1,1,7,2,3,1,1
"SLC44A1_LIVER","SLC44A1","LIVER",0,3,0,3,8,1,4,6,1,5
"SLC44A1_LUNG","SLC44A1","LUNG",0,10,1,2,2,19,1,7,3,3
"SLC44A1_MUSCLE","SLC44A1","MUSCLE",0,5,1,4,2,6,1,8,3,6
"SLC44A1_SKIN","SLC44A1","SKIN",0,5,1,6,2,4,1,3,3,2
"SLC44A1_SMALL","SLC44A1","SMALL",1,3,0,3,2,3,1,3,2,2
"SLC44A1_SPLEEN","SLC44A1","SPLEEN",1,5,0,22,1,2,2,1,1,3
"SLC44A1_WAT","SLC44A1","WAT",0,1,0,8,4,6,0,1,7,5
"SLC44A2_HEART","SLC44A2","HEART",2,9,1,9,1,22,1,6,2,1
"SLC44A2_KIDNEY-CORTEX","SLC44A2","KIDNEY-CORTEX",2,7,6,10,6,7,3,13,4,10
"SLC44A2_KIDNEY-MED","SLC44A2","KIDNEY-MED",1,1,1,5,NA,4,1,4,1,10
"SLC44A2_LARGE","SLC44A2","LARGE",1,8,1,1,1,6,2,3,2,1
"SLC44A2_LIVER","SLC44A2","LIVER",0,5,0,5,2,2,2,9,1,13
"SLC44A2_LUNG","SLC44A2","LUNG",0,7,1,1,6,12,1,9,5,4
"SLC44A2_MUSCLE","SLC44A2","MUSCLE",0,15,1,7,3,9,1,6,4,4
"SLC44A2_SKIN","SLC44A2","SKIN",0,3,2,10,5,6,1,12,5,4
"SLC44A2_SMALL","SLC44A2","SMALL",1,1,0,3,2,4,1,3,3,3
"SLC44A2_SPLEEN","SLC44A2","SPLEEN",2,7,0,21,1,3,2,1,3,8
"SLC44A2_WAT","SLC44A2","WAT",0,1,0,11,5,7,0,1,8,11
"SLC44A3_HEART","SLC44A3","HEART",1,2,1,1,1,2,1,3,1,1
"SLC44A3_KIDNEY-CORTEX","SLC44A3","KIDNEY-CORTEX",1,8,1,7,5,1,1,10,0,3
"SLC44A3_KIDNEY-MED","SLC44A3","KIDNEY-MED",2,1,3,1,NA,4,2,1,1,13
"SLC44A3_LARGE","SLC44A3","LARGE",2,5,2,1,1,5,2,4,1,1
"SLC44A3_LIVER","SLC44A3","LIVER",11,1,16,1,7,2,3,2,1,1
"SLC44A3_LUNG","SLC44A3","LUNG",3,10,2,2,1,9,1,3,1,1
"SLC44A3_MUSCLE","SLC44A3","MUSCLE",1,2,1,3,1,3,1,8,1,7
"SLC44A3_SKIN","SLC44A3","SKIN",1,2,1,2,0,5,1,1,1,4
"SLC44A3_SMALL","SLC44A3","SMALL",1,1,1,2,2,1,1,1,1,2
"SLC44A3_SPLEEN","SLC44A3","SPLEEN",1,1,1,11,1,1,2,1,1,1
"SLC44A3_WAT","SLC44A3","WAT",1,1,1,9,4,2,2,1,3,1
"SLC44A4_HEART","SLC44A4","HEART",1,4,0,1,1,0,1,9,1,1
"SLC44A4_KIDNEY-CORTEX","SLC44A4","KIDNEY-CORTEX",1,14,0,7,6,1,0,37,1,3
"SLC44A4_KIDNEY-MED","SLC44A4","KIDNEY-MED",1,1,1,1,NA,16,1,1,1,21
"SLC44A4_LARGE","SLC44A4","LARGE",1,10,1,1,1,9,1,1,1,1
"SLC44A4_LIVER","SLC44A4","LIVER",0,2,0,1,2,1,10,9,1,1
"SLC44A4_LUNG","SLC44A4","LUNG",0,17,0,1,1,25,0,3,0,2
"SLC44A4_MUSCLE","SLC44A4","MUSCLE",0,1,1,7,0,6,2,13,1,1
"SLC44A4_SKIN","SLC44A4","SKIN",0,9,0,3,0,14,1,1,0,7
"SLC44A4_SMALL","SLC44A4","SMALL",0,1,0,5,3,1,0,1,1,4
"SLC44A4_SPLEEN","SLC44A4","SPLEEN",1,4,0,33,1,2,2,1,1,1
"SLC44A4_WAT","SLC44A4","WAT",0,1,0,15,5,10,0,1,10,1
"SLC45A3_HEART","SLC45A3","HEART",1,1,0,2,1,20,1,2,0,1
"SLC45A3_KIDNEY-CORTEX","SLC45A3","KIDNEY-CORTEX",0,4,5,4,4,1,0,11,1,2
"SLC45A3_KIDNEY-MED","SLC45A3","KIDNEY-MED",0,1,1,5,NA,5,1,1,1,3
"SLC45A3_LARGE","SLC45A3","LARGE",1,2,1,1,1,2,1,1,1,1
"SLC45A3_LIVER","SLC45A3","LIVER",0,1,0,1,2,1,3,2,1,1
"SLC45A3_LUNG","SLC45A3","LUNG",0,2,0,1,4,8,0,4,1,1
"SLC45A3_MUSCLE","SLC45A3","MUSCLE",0,13,1,1,0,4,1,3,1,2
"SLC45A3_SKIN","SLC45A3","SKIN",0,3,0,3,4,3,1,9,1,4
"SLC45A3_SMALL","SLC45A3","SMALL",0,1,0,2,1,1,1,1,1,2
"SLC45A3_SPLEEN","SLC45A3","SPLEEN",1,1,0,12,1,1,1,1,1,5
"SLC45A3_WAT","SLC45A3","WAT",0,1,0,5,2,1,0,1,4,1
"SLC45A4_HEART","SLC45A4","HEART",1,4,1,4,1,11,1,5,2,1
"SLC45A4_KIDNEY-CORTEX","SLC45A4","KIDNEY-CORTEX",1,8,2,7,5,2,1,13,2,6
"SLC45A4_KIDNEY-MED","SLC45A4","KIDNEY-MED",1,1,1,3,NA,6,1,1,1,10
"SLC45A4_LARGE","SLC45A4","LARGE",1,5,1,1,1,5,1,1,1,1
"SLC45A4_LIVER","SLC45A4","LIVER",0,2,0,1,4,1,4,4,1,4
"SLC45A4_LUNG","SLC45A4","LUNG",0,8,0,2,2,11,1,4,2,2
"SLC45A4_MUSCLE","SLC45A4","MUSCLE",0,7,1,5,0,6,1,7,2,4
"SLC45A4_SKIN","SLC45A4","SKIN",0,3,1,4,2,7,1,7,3,4
"SLC45A4_SMALL","SLC45A4","SMALL",1,1,0,3,2,2,1,1,1,2
"SLC45A4_SPLEEN","SLC45A4","SPLEEN",1,2,0,17,1,3,2,1,1,4
"SLC45A4_WAT","SLC45A4","WAT",0,1,0,10,4,5,0,1,5,3
"SLC46A1_HEART","SLC46A1","HEART",3,2,2,1,1,3,2,1,2,1
"SLC46A1_KIDNEY-CORTEX","SLC46A1","KIDNEY-CORTEX",1,11,1,4,5,2,2,3,2,4
"SLC46A1_KIDNEY-MED","SLC46A1","KIDNEY-MED",1,1,3,2,NA,1,1,1,1,21
"SLC46A1_LARGE","SLC46A1","LARGE",1,2,1,1,1,8,1,1,1,1
"SLC46A1_LIVER","SLC46A1","LIVER",13,1,10,1,3,2,1,1,1,3
"SLC46A1_LUNG","SLC46A1","LUNG",3,13,1,1,1,2,1,2,2,1
"SLC46A1_MUSCLE","SLC46A1","MUSCLE",1,3,1,1,1,4,2,15,2,4
"SLC46A1_SKIN","SLC46A1","SKIN",2,1,2,3,1,12,1,2,2,1
"SLC46A1_SMALL","SLC46A1","SMALL",1,2,1,1,3,2,1,1,1,3
"SLC46A1_SPLEEN","SLC46A1","SPLEEN",1,2,2,3,1,1,4,1,1,1
"SLC46A1_WAT","SLC46A1","WAT",2,1,3,11,4,1,1,1,2,4
"SLC46A2_HEART","SLC46A2","HEART",1,3,0,2,1,5,1,1,1,1
"SLC46A2_KIDNEY-CORTEX","SLC46A2","KIDNEY-CORTEX",0,2,1,2,2,0,1,2,1,3
"SLC46A2_KIDNEY-MED","SLC46A2","KIDNEY-MED",0,1,1,1,NA,2,0,1,1,4
"SLC46A2_LARGE","SLC46A2","LARGE",1,1,1,1,1,2,1,1,1,1
"SLC46A2_LIVER","SLC46A2","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC46A2_LUNG","SLC46A2","LUNG",0,4,0,1,2,2,0,3,1,1
"SLC46A2_MUSCLE","SLC46A2","MUSCLE",0,4,1,1,0,2,1,3,1,1
"SLC46A2_SKIN","SLC46A2","SKIN",0,1,1,2,1,1,0,1,1,1
"SLC46A2_SMALL","SLC46A2","SMALL",1,1,0,1,1,1,0,1,1,1
"SLC46A2_SPLEEN","SLC46A2","SPLEEN",1,1,0,6,1,1,1,1,1,2
"SLC46A2_WAT","SLC46A2","WAT",0,1,0,3,1,2,0,1,1,1
"SLC46A3_HEART","SLC46A3","HEART",1,3,1,5,1,8,1,9,0,1
"SLC46A3_KIDNEY-CORTEX","SLC46A3","KIDNEY-CORTEX",0,9,3,10,6,3,2,12,2,4
"SLC46A3_KIDNEY-MED","SLC46A3","KIDNEY-MED",1,1,1,3,NA,5,1,1,1,22
"SLC46A3_LARGE","SLC46A3","LARGE",1,9,1,1,1,7,1,2,1,1
"SLC46A3_LIVER","SLC46A3","LIVER",0,2,0,2,9,2,3,6,1,5
"SLC46A3_LUNG","SLC46A3","LUNG",0,16,1,2,3,12,1,4,2,2
"SLC46A3_MUSCLE","SLC46A3","MUSCLE",0,5,1,5,1,3,1,12,3,6
"SLC46A3_SKIN","SLC46A3","SKIN",0,3,1,3,2,9,1,4,3,2
"SLC46A3_SMALL","SLC46A3","SMALL",0,1,0,4,2,1,1,2,1,3
"SLC46A3_SPLEEN","SLC46A3","SPLEEN",1,4,0,15,1,2,2,1,2,2
"SLC46A3_WAT","SLC46A3","WAT",0,1,0,9,4,5,0,1,6,3
"SLC48A1_HEART","SLC48A1","HEART",4,4,2,5,1,16,2,2,2,1
"SLC48A1_KIDNEY-CORTEX","SLC48A1","KIDNEY-CORTEX",0,5,4,5,4,4,2,6,3,3
"SLC48A1_KIDNEY-MED","SLC48A1","KIDNEY-MED",1,1,3,4,NA,2,1,2,1,11
"SLC48A1_LARGE","SLC48A1","LARGE",1,2,2,1,1,6,1,2,1,1
"SLC48A1_LIVER","SLC48A1","LIVER",8,4,10,2,3,2,2,3,1,5
"SLC48A1_LUNG","SLC48A1","LUNG",3,9,2,1,4,5,2,3,2,1
"SLC48A1_MUSCLE","SLC48A1","MUSCLE",3,12,1,2,1,4,3,7,4,4
"SLC48A1_SKIN","SLC48A1","SKIN",3,1,3,3,4,7,2,8,3,3
"SLC48A1_SMALL","SLC48A1","SMALL",2,1,1,2,2,3,1,3,2,3
"SLC48A1_SPLEEN","SLC48A1","SPLEEN",1,3,5,14,1,2,6,1,2,5
"SLC48A1_WAT","SLC48A1","WAT",5,1,5,8,4,1,1,1,3,5
"SLC4A1_HEART","SLC4A1","HEART",1,1,0,1,1,15,0,0,0,1
"SLC4A1_KIDNEY-CORTEX","SLC4A1","KIDNEY-CORTEX",0,8,4,1,4,0,1,1,1,1
"SLC4A1_KIDNEY-MED","SLC4A1","KIDNEY-MED",0,1,1,7,NA,0,0,1,1,6
"SLC4A1_LARGE","SLC4A1","LARGE",1,1,1,1,1,3,0,1,1,1
"SLC4A1_LIVER","SLC4A1","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC4A1_LUNG","SLC4A1","LUNG",0,3,0,1,2,0,0,0,1,1
"SLC4A1_MUSCLE","SLC4A1","MUSCLE",0,8,1,1,0,1,1,4,1,1
"SLC4A1_SKIN","SLC4A1","SKIN",0,1,0,1,5,5,0,5,1,1
"SLC4A1_SMALL","SLC4A1","SMALL",0,1,0,1,2,0,0,1,1,2
"SLC4A1_SPLEEN","SLC4A1","SPLEEN",0,1,0,2,1,1,1,1,1,5
"SLC4A1_WAT","SLC4A1","WAT",0,1,0,6,4,1,0,1,0,1
"SLC4A11_HEART","SLC4A11","HEART",2,2,2,3,1,4,1,4,1,1
"SLC4A11_KIDNEY-CORTEX","SLC4A11","KIDNEY-CORTEX",1,9,1,7,13,2,1,5,1,2
"SLC4A11_KIDNEY-MED","SLC4A11","KIDNEY-MED",2,1,4,2,NA,2,4,1,1,20
"SLC4A11_LARGE","SLC4A11","LARGE",1,6,2,1,1,9,1,1,1,1
"SLC4A11_LIVER","SLC4A11","LIVER",0,2,2,2,1,1,2,4,1,3
"SLC4A11_LUNG","SLC4A11","LUNG",2,18,2,1,1,4,1,1,1,2
"SLC4A11_MUSCLE","SLC4A11","MUSCLE",1,3,1,3,1,1,2,11,1,2
"SLC4A11_SKIN","SLC4A11","SKIN",2,1,3,2,0,11,1,3,2,2
"SLC4A11_SMALL","SLC4A11","SMALL",1,1,1,3,3,1,0,2,1,6
"SLC4A11_SPLEEN","SLC4A11","SPLEEN",2,2,2,7,1,1,4,1,1,1
"SLC4A11_WAT","SLC4A11","WAT",3,1,3,23,14,2,1,1,3,3
"SLC4A1AP_HEART","SLC4A1AP","HEART",5,5,3,5,1,10,2,3,1,1
"SLC4A1AP_KIDNEY-CORTEX","SLC4A1AP","KIDNEY-CORTEX",0,8,3,8,5,7,3,12,3,6
"SLC4A1AP_KIDNEY-MED","SLC4A1AP","KIDNEY-MED",0,1,3,3,NA,3,1,1,1,15
"SLC4A1AP_LARGE","SLC4A1AP","LARGE",2,5,2,1,1,8,1,2,1,1
"SLC4A1AP_LIVER","SLC4A1AP","LIVER",9,3,13,2,3,1,2,5,1,6
"SLC4A1AP_LUNG","SLC4A1AP","LUNG",4,13,1,1,2,8,1,5,4,1
"SLC4A1AP_MUSCLE","SLC4A1AP","MUSCLE",3,7,1,4,2,4,3,8,3,5
"SLC4A1AP_SKIN","SLC4A1AP","SKIN",3,2,3,3,2,7,2,4,4,4
"SLC4A1AP_SMALL","SLC4A1AP","SMALL",2,1,1,2,2,4,1,2,2,2
"SLC4A1AP_SPLEEN","SLC4A1AP","SPLEEN",1,3,4,16,1,1,4,1,1,2
"SLC4A1AP_WAT","SLC4A1AP","WAT",5,1,6,9,4,4,1,1,5,7
"SLC4A2_HEART","SLC4A2","HEART",2,7,1,5,1,13,1,4,2,1
"SLC4A2_KIDNEY-CORTEX","SLC4A2","KIDNEY-CORTEX",1,14,2,8,8,6,4,13,3,8
"SLC4A2_KIDNEY-MED","SLC4A2","KIDNEY-MED",1,1,1,5,NA,5,1,1,1,18
"SLC4A2_LARGE","SLC4A2","LARGE",1,5,1,1,1,11,2,2,1,1
"SLC4A2_LIVER","SLC4A2","LIVER",0,5,0,2,8,1,4,4,1,8
"SLC4A2_LUNG","SLC4A2","LUNG",0,15,1,3,2,10,1,6,3,3
"SLC4A2_MUSCLE","SLC4A2","MUSCLE",0,10,1,5,0,7,2,12,4,6
"SLC4A2_SKIN","SLC4A2","SKIN",0,4,1,7,3,12,1,7,4,5
"SLC4A2_SMALL","SLC4A2","SMALL",1,1,0,3,3,4,1,3,2,4
"SLC4A2_SPLEEN","SLC4A2","SPLEEN",1,6,0,19,1,3,2,1,3,2
"SLC4A2_WAT","SLC4A2","WAT",0,1,0,15,6,5,0,1,6,7
"SLC4A3_HEART","SLC4A3","HEART",3,2,1,2,1,2,1,1,7,1
"SLC4A3_KIDNEY-CORTEX","SLC4A3","KIDNEY-CORTEX",1,3,1,6,3,1,1,3,7,3
"SLC4A3_KIDNEY-MED","SLC4A3","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,5
"SLC4A3_LARGE","SLC4A3","LARGE",1,1,1,1,1,3,1,1,1,1
"SLC4A3_LIVER","SLC4A3","LIVER",0,14,0,1,0,1,0,1,1,18
"SLC4A3_LUNG","SLC4A3","LUNG",0,5,1,1,1,2,1,2,7,1
"SLC4A3_MUSCLE","SLC4A3","MUSCLE",0,1,1,2,1,3,1,4,0,1
"SLC4A3_SKIN","SLC4A3","SKIN",0,1,1,2,0,3,1,1,8,2
"SLC4A3_SMALL","SLC4A3","SMALL",1,1,0,1,1,7,1,1,4,2
"SLC4A3_SPLEEN","SLC4A3","SPLEEN",1,1,0,5,1,1,1,1,0,2
"SLC4A3_WAT","SLC4A3","WAT",0,1,0,6,3,1,0,1,2,18
"SLC4A4_HEART","SLC4A4","HEART",1,4,1,2,1,3,1,10,1,1
"SLC4A4_KIDNEY-CORTEX","SLC4A4","KIDNEY-CORTEX",2,47,1,14,13,5,2,35,1,2
"SLC4A4_KIDNEY-MED","SLC4A4","KIDNEY-MED",0,1,1,1,NA,14,1,3,1,69
"SLC4A4_LARGE","SLC4A4","LARGE",1,13,1,1,1,40,2,3,1,1
"SLC4A4_LIVER","SLC4A4","LIVER",0,3,0,1,6,1,8,7,1,4
"SLC4A4_LUNG","SLC4A4","LUNG",0,58,1,3,1,23,0,2,2,2
"SLC4A4_MUSCLE","SLC4A4","MUSCLE",0,2,1,7,1,2,3,50,2,6
"SLC4A4_SKIN","SLC4A4","SKIN",0,6,1,2,1,34,1,2,2,8
"SLC4A4_SMALL","SLC4A4","SMALL",1,1,0,5,6,2,1,2,2,8
"SLC4A4_SPLEEN","SLC4A4","SPLEEN",1,4,0,30,1,2,4,1,2,1
"SLC4A4_WAT","SLC4A4","WAT",0,1,0,35,9,8,0,1,10,3
"SLC4A7_HEART","SLC4A7","HEART",2,5,0,4,1,12,1,8,1,1
"SLC4A7_KIDNEY-CORTEX","SLC4A7","KIDNEY-CORTEX",1,10,5,15,9,5,2,29,2,4
"SLC4A7_KIDNEY-MED","SLC4A7","KIDNEY-MED",0,1,1,3,NA,8,1,1,1,17
"SLC4A7_LARGE","SLC4A7","LARGE",1,15,1,1,1,7,2,1,1,1
"SLC4A7_LIVER","SLC4A7","LIVER",0,2,0,1,3,2,5,8,1,4
"SLC4A7_LUNG","SLC4A7","LUNG",0,7,1,1,5,24,1,5,3,3
"SLC4A7_MUSCLE","SLC4A7","MUSCLE",0,10,1,6,2,5,1,7,3,5
"SLC4A7_SKIN","SLC4A7","SKIN",0,6,1,3,3,6,1,7,2,7
"SLC4A7_SMALL","SLC4A7","SMALL",0,1,0,4,1,2,1,2,2,4
"SLC4A7_SPLEEN","SLC4A7","SPLEEN",1,3,0,38,1,2,2,1,2,4
"SLC4A7_WAT","SLC4A7","WAT",0,1,0,15,8,8,0,1,11,4
"SLC4A8_HEART","SLC4A8","HEART",1,1,0,1,1,4,0,0,0,1
"SLC4A8_KIDNEY-CORTEX","SLC4A8","KIDNEY-CORTEX",0,5,1,2,6,1,0,3,1,2
"SLC4A8_KIDNEY-MED","SLC4A8","KIDNEY-MED",0,1,1,2,NA,0,1,1,1,9
"SLC4A8_LARGE","SLC4A8","LARGE",1,2,1,1,1,4,1,1,1,1
"SLC4A8_LIVER","SLC4A8","LIVER",0,1,0,1,0,1,0,2,1,1
"SLC4A8_LUNG","SLC4A8","LUNG",0,4,0,1,2,3,0,1,0,1
"SLC4A8_MUSCLE","SLC4A8","MUSCLE",0,2,1,1,0,1,1,5,1,1
"SLC4A8_SKIN","SLC4A8","SKIN",0,1,0,1,1,4,1,2,1,1
"SLC4A8_SMALL","SLC4A8","SMALL",0,1,0,1,1,1,0,1,0,2
"SLC4A8_SPLEEN","SLC4A8","SPLEEN",0,1,0,4,1,1,2,1,0,1
"SLC4A8_WAT","SLC4A8","WAT",0,1,0,10,6,1,0,1,2,1
"SLC4A9_HEART","SLC4A9","HEART",1,1,0,2,1,1,0,1,0,1
"SLC4A9_KIDNEY-CORTEX","SLC4A9","KIDNEY-CORTEX",0,5,1,2,3,1,1,2,1,1
"SLC4A9_KIDNEY-MED","SLC4A9","KIDNEY-MED",0,1,1,1,NA,0,1,1,1,4
"SLC4A9_LARGE","SLC4A9","LARGE",1,1,1,1,1,2,1,1,1,1
"SLC4A9_LIVER","SLC4A9","LIVER",0,1,0,1,0,1,0,1,1,1
"SLC4A9_LUNG","SLC4A9","LUNG",0,5,0,1,1,1,0,0,0,1
"SLC4A9_MUSCLE","SLC4A9","MUSCLE",0,1,1,1,0,1,1,3,0,1
"SLC4A9_SKIN","SLC4A9","SKIN",0,1,1,1,0,2,0,1,1,1
"SLC4A9_SMALL","SLC4A9","SMALL",0,1,0,1,1,0,0,1,0,1
"SLC4A9_SPLEEN","SLC4A9","SPLEEN",0,1,0,3,1,1,1,1,0,1
"SLC4A9_WAT","SLC4A9","WAT",0,1,0,4,4,1,0,1,1,1
"SLC50A1_HEART","SLC50A1","HEART",1,2,1,2,1,3,1,1,0,1
"SLC50A1_KIDNEY-CORTEX","SLC50A1","KIDNEY-CORTEX",0,2,1,2,2,1,1,4,1,1
"SLC50A1_KIDNEY-MED","SLC50A1","KIDNEY-MED",1,1,1,1,NA,1,0,1,1,3
"SLC50A1_LARGE","SLC50A1","LARGE",1,1,1,1,1,2,1,1,1,1
"SLC50A1_LIVER","SLC50A1","LIVER",0,1,0,1,1,1,0,1,1,1
"SLC50A1_LUNG","SLC50A1","LUNG",0,2,1,1,1,4,0,1,1,1
"SLC50A1_MUSCLE","SLC50A1","MUSCLE",0,2,1,1,0,1,1,2,1,2
"SLC50A1_SKIN","SLC50A1","SKIN",0,1,1,1,1,1,0,1,1,1
"SLC50A1_SMALL","SLC50A1","SMALL",1,1,0,1,1,1,1,1,1,1
"SLC50A1_SPLEEN","SLC50A1","SPLEEN",1,1,0,5,1,1,1,1,0,1
"SLC50A1_WAT","SLC50A1","WAT",0,1,0,1,2,1,0,1,2,2
"SLC51A_HEART","SLC51A","HEART",1,1,0,1,1,2,0,5,1,1
"SLC51A_KIDNEY-CORTEX","SLC51A","KIDNEY-CORTEX",0,8,0,3,3,1,0,7,0,1
"SLC51A_KIDNEY-MED","SLC51A","KIDNEY-MED",0,1,1,1,NA,2,1,1,1,8
"SLC51A_LARGE","SLC51A","LARGE",1,5,1,1,1,2,0,1,1,1
"SLC51A_LIVER","SLC51A","LIVER",0,1,0,1,1,1,2,7,1,2
"SLC51A_LUNG","SLC51A","LUNG",0,6,1,1,0,6,0,1,1,2
"SLC51A_MUSCLE","SLC51A","MUSCLE",0,1,1,5,0,1,1,7,1,1
"SLC51A_SKIN","SLC51A","SKIN",0,1,0,1,0,6,1,1,1,2
"SLC51A_SMALL","SLC51A","SMALL",0,1,0,4,2,0,0,1,1,2
"SLC51A_SPLEEN","SLC51A","SPLEEN",0,1,0,7,1,1,1,1,0,1
"SLC51A_WAT","SLC51A","WAT",0,1,0,5,1,5,0,1,3,1
"SLC51B_HEART","SLC51B","HEART",1,1,0,1,1,2,1,4,0,1
"SLC51B_KIDNEY-CORTEX","SLC51B","KIDNEY-CORTEX",0,5,1,3,2,0,1,6,1,3
"SLC51B_KIDNEY-MED","SLC51B","KIDNEY-MED",0,1,1,1,NA,2,1,1,1,9
"SLC51B_LARGE","SLC51B","LARGE",1,6,1,1,1,4,1,1,1,1
"SLC51B_LIVER","SLC51B","LIVER",0,2,0,1,1,1,1,5,1,2
"SLC51B_LUNG","SLC51B","LUNG",0,5,0,1,1,5,1,1,1,1
"SLC51B_MUSCLE","SLC51B","MUSCLE",0,2,1,5,1,1,1,4,1,1
"SLC51B_SKIN","SLC51B","SKIN",0,1,0,2,1,3,1,2,1,2
"SLC51B_SMALL","SLC51B","SMALL",0,1,0,3,1,1,1,1,1,2
"SLC51B_SPLEEN","SLC51B","SPLEEN",0,1,0,10,1,1,1,1,1,1
"SLC51B_WAT","SLC51B","WAT",0,1,0,5,1,7,0,1,3,1
"SLC52A2_HEART","SLC52A2","HEART",1,2,1,2,1,4,1,2,1,1
"SLC52A2_KIDNEY-CORTEX","SLC52A2","KIDNEY-CORTEX",1,3,1,2,3,1,1,5,1,3
"SLC52A2_KIDNEY-MED","SLC52A2","KIDNEY-MED",1,1,2,2,NA,2,1,1,1,5
"SLC52A2_LARGE","SLC52A2","LARGE",1,2,2,1,1,3,0,1,1,1
"SLC52A2_LIVER","SLC52A2","LIVER",2,1,3,1,1,1,2,3,1,2
"SLC52A2_LUNG","SLC52A2","LUNG",2,2,2,1,1,4,1,2,1,1
"SLC52A2_MUSCLE","SLC52A2","MUSCLE",1,3,1,2,1,2,2,5,1,2
"SLC52A2_SKIN","SLC52A2","SKIN",1,2,1,2,0,2,1,1,2,2
"SLC52A2_SMALL","SLC52A2","SMALL",1,1,1,2,2,1,1,1,1,1
"SLC52A2_SPLEEN","SLC52A2","SPLEEN",1,1,1,6,1,1,2,1,1,1
"SLC52A2_WAT","SLC52A2","WAT",3,1,3,5,1,2,1,1,2,2
"SLC52A3_HEART","SLC52A3","HEART",1,1,0,2,1,1,0,1,1,1
"SLC52A3_KIDNEY-CORTEX","SLC52A3","KIDNEY-CORTEX",0,3,0,2,3,1,0,5,1,1
"SLC52A3_KIDNEY-MED","SLC52A3","KIDNEY-MED",0,1,1,1,NA,2,0,1,1,4
"SLC52A3_LARGE","SLC52A3","LARGE",1,2,1,1,1,3,1,1,1,1
"SLC52A3_LIVER","SLC52A3","LIVER",0,1,0,1,0,1,1,1,1,2
"SLC52A3_LUNG","SLC52A3","LUNG",0,4,1,1,0,4,0,0,2,1
"SLC52A3_MUSCLE","SLC52A3","MUSCLE",0,1,1,1,0,1,1,4,1,1
"SLC52A3_SKIN","SLC52A3","SKIN",0,1,0,1,0,4,1,1,2,2
"SLC52A3_SMALL","SLC52A3","SMALL",0,1,0,2,1,1,0,1,1,1
"SLC52A3_SPLEEN","SLC52A3","SPLEEN",0,1,0,6,1,1,1,1,0,1
"SLC52A3_WAT","SLC52A3","WAT",0,1,0,3,2,2,0,1,2,2
"SLC5A1_HEART","SLC5A1","HEART",1,2,1,3,1,2,1,27,0,1
"SLC5A1_KIDNEY-CORTEX","SLC5A1","KIDNEY-CORTEX",0,3,0,12,2,1,1,15,0,2
"SLC5A1_KIDNEY-MED","SLC5A1","KIDNEY-MED",1,1,1,1,NA,2,3,1,1,7
"SLC5A1_LARGE","SLC5A1","LARGE",1,30,1,1,1,4,0,1,1,1
"SLC5A1_LIVER","SLC5A1","LIVER",0,1,0,2,1,1,2,28,1,1
"SLC5A1_LUNG","SLC5A1","LUNG",0,5,1,1,0,15,0,1,0,2
"SLC5A1_MUSCLE","SLC5A1","MUSCLE",0,2,1,16,1,2,1,3,2,1
"SLC5A1_SKIN","SLC5A1","SKIN",0,2,1,2,1,4,2,1,1,3
